ID,x0,x1,class
0,21.799463,20.196459,1
1,8.787737,1.087562,1
2,16.575958,1.330877,1
3,22.202239,16.2972,1
4,-6.773853,-3.789973,0
5,29.211771,2.217158,1
6,-8.523815,10.443822,0
7,6.223601,9.070108,0
8,-0.750342,-2.758054,0
9,16.61278,1.9838,1
10,9.497516,10.204807,0
11,-1.362341,2.432075,0
12,35.071902,2.199311,1
13,8.314307,23.637923,0
14,15.157187,1.747948,1
15,10.67011,16.40633,1
16,16.921737,16.713081,1
17,-7.171564,11.593619,0
18,2.340712,19.290468,0
19,8.653876,0.833474,1
20,16.336243,1.237032,1
21,17.503498,16.332444,1
22,32.873382,1.788909,1
23,1.035241,17.789518,0
24,-2.955075,-3.805017,0
25,-1.757026,15.777571,0
26,14.714586,15.736541,0
27,-8.373977,10.598486,0
28,1.449144,3.911552,0
29,3.729936,20.281372,0
30,24.916132,1.966566,1
31,28.420118,17.546224,1
32,-8.167743,-6.033911,0
33,8.125359,9.803402,0
34,31.590691,20.404383,1
35,5.505701,4.193502,0
36,-11.445955,-19.112869,0
37,-8.537405,-4.327359,0
38,-3.156458,14.823939,0
39,17.699401,31.564011,0
40,4.70445,21.072099,0
41,49.84203,2.395657,1
42,-4.393034,13.521677,0
43,3.219141,5.146168,0
44,-1.990359,15.615538,0
45,4.137533,20.579718,0
46,9.818245,8.483522,0
47,6.651318,0.806391,1
48,4.998782,21.637227,0
49,20.407749,16.393839,1
50,20.927784,19.779543,1
51,12.445809,27.036637,0
52,20.768409,1.764055,1
53,25.431509,15.82502,1
54,19.161347,17.93625,1
55,18.360646,20.019036,1
56,-2.980888,3.11568,0
57,6.361343,1.336038,0
58,-8.607568,-5.289971,0
59,15.58353,1.391613,1
60,-9.239876,-11.938408,0
61,33.104848,2.486949,1
62,-1.174472,15.902851,0
63,-26.818269,-4.232636,0
64,17.926691,16.281081,0
65,-8.204638,10.766451,1
66,21.981189,18.257952,1
67,18.748635,15.882275,1
68,6.634406,0.9753,1
69,-6.036448,-3.749694,0
70,20.935485,19.828512,1
71,0.460238,17.761534,0
72,29.814726,2.092421,1
73,-9.907762,9.403752,0
74,1.528985,1.039209,1
75,10.993802,18.427986,1
76,16.661621,17.375103,1
77,-10.013468,-8.421262,0
78,12.337783,1.184189,1
79,7.191708,22.992254,0
80,18.060718,17.279436,1
81,12.994418,17.218284,1
82,4.150153,21.063892,0
83,2.320687,1.282123,1
84,9.650603,24.842203,0
85,-16.633181,-14.977077,0
86,6.847332,22.929284,0
87,8.37834,24.236491,0
88,24.51013,16.479718,1
89,1.675992,7.615989,0
90,2.069087,18.909746,0
91,18.395574,16.521539,1
92,1.341453,-2.382368,0
93,14.754706,19.700007,1
94,-11.098312,-6.741987,0
95,30.352313,13.91181,1
96,17.651311,1.285669,1
97,11.39632,19.652864,1
98,-2.374968,15.367241,1
99,27.990366,2.08155,1
100,8.016781,8.308734,0
101,12.22957,1.272913,1
102,-12.055168,7.45306,0
103,18.450077,1.542303,1
104,14.546901,20.309341,1
105,0.640072,-5.068046,0
106,13.914998,14.529564,0
107,30.825202,16.108214,1
108,-8.91892,10.155236,0
109,-2.618661,0.620846,1
110,8.030524,3.456786,0
111,-1.922314,15.886458,0
112,8.589307,24.043802,0
113,18.877738,17.8841,1
114,-0.403252,-4.361488,0
115,6.91054,22.769258,0
116,-5.705936,12.977657,0
117,9.276654,24.802854,0
118,-6.413615,-8.952661,0
119,37.077354,2.733163,1
120,-8.615593,-4.187335,0
121,-8.845535,10.53245,0
122,30.581452,1.940142,1
123,7.213646,16.72803,1
124,10.540003,13.139657,0
125,20.01933,19.405507,1
126,3.226562,4.859087,0
127,13.980007,0.877046,1
128,3.679146,16.698186,1
129,28.814038,15.591686,1
130,26.707625,1.372338,1
131,-14.485906,5.578581,0
132,7.804352,23.77307,0
133,-21.114547,0.442806,0
134,6.750321,22.752324,0
135,-3.162759,-1.824571,0
136,26.497435,18.913637,1
137,13.300546,12.470259,0
138,14.705443,1.020448,1
139,-16.141893,-9.981059,1
140,-8.097638,-2.974681,0
141,17.539168,21.801506,1
142,7.021111,22.592989,0
143,-1.614288,15.778731,0
144,-3.517353,-2.836066,0
145,-3.648552,-9.237966,0
146,9.033411,24.373654,0
147,18.719566,24.999955,1
148,26.215465,1.738058,1
149,11.830746,1.133071,1
150,12.600624,20.845074,1
151,-3.138782,-7.269994,0
152,-9.062944,-9.261026,0
153,38.863412,14.673879,1
154,19.828085,21.013645,1
155,-6.153588,12.404584,0
156,-3.906074,-0.000601,0
157,23.008325,17.548237,1
158,5.561822,22.214325,0
159,7.341959,-0.562427,0
160,0.292519,17.547212,0
161,-8.132351,10.821572,0
162,15.952,1.559678,1
163,16.824436,17.223245,0
164,6.65181,1.365904,0
165,2.873355,-0.672841,0
166,5.98028,0.597561,1
167,9.182138,4.255508,0
168,22.595727,18.64799,1
169,13.941488,20.095921,1
170,32.230901,2.071759,1
171,10.193762,1.120942,1
172,15.424889,1.522717,1
173,22.521003,19.63671,1
174,3.971168,20.246488,0
175,17.888874,18.279211,1
176,21.146897,13.336041,1
177,28.141473,1.516265,1
178,-3.119381,-0.61631,0
179,27.090892,2.093279,1
180,12.435916,1.467176,1
181,-0.511186,1.689742,0
182,5.256052,21.877979,0
183,14.226405,1.349741,1
184,12.638846,8.514922,0
185,12.294833,4.321959,0
186,23.004874,18.909587,1
187,16.569772,16.1727,1
188,8.566094,5.137407,0
189,8.403976,9.337358,0
190,16.687089,21.8269,1
191,-13.560972,-15.005498,0
192,-1.603819,15.993199,0
193,20.577586,17.035158,1
194,28.695136,2.108616,1
195,20.933858,1.730353,1
196,12.702835,1.276,1
197,15.230465,14.813371,0
198,6.608779,0.415206,0
199,-11.239479,8.249911,0
200,0.710466,18.093381,0
201,16.839075,20.128558,1
202,9.933458,3.615981,0
203,7.235313,4.854871,0
204,4.781387,21.139296,0
205,14.775826,1.410297,1
206,-8.682452,-10.462169,0
207,-2.831351,15.236898,0
208,-2.463131,15.536959,0
209,28.329595,2.27695,1
210,17.680576,1.293996,1
211,15.975347,20.049398,1
212,-4.798765,13.125963,0
213,-2.751765,14.973145,0
214,4.076354,5.856764,0
215,14.102394,20.961792,1
216,-7.463925,11.283267,0
217,17.435478,18.813828,1
218,17.897223,16.410168,0
219,7.415268,8.588651,0
220,3.580496,19.663,0
221,10.513635,25.864421,0
222,-15.876376,4.872319,0
223,4.764965,21.424902,0
224,23.49518,18.281338,1
225,-10.735075,8.395918,0
226,19.007416,14.578921,1
227,-4.607878,-5.720171,0
228,27.899999,16.676755,1
229,5.102111,7.097542,0
230,-8.196685,-5.246985,0
231,14.06208,20.132551,1
232,18.658091,1.508155,1
233,14.275872,19.718764,1
234,20.146464,33.321968,0
235,6.231456,1.308738,1
236,22.443867,18.5029,1
237,3.26914,2.697421,0
238,17.24629,19.991325,1
239,20.780133,0.955339,1
240,15.896653,19.140335,1
241,11.263605,3.869774,0
242,-5.169675,13.325772,0
243,10.844221,19.276156,1
